💝移动央视,#genre#
赛事咪咕播04,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000008001
赛事咪咕播05,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000008176
赛事咪咕播06,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000008379
赛事咪咕播07,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000010129
赛事咪咕播08,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000010948
赛事咪咕播09,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000028638
赛事咪咕播10,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000001000031494
赛事咪咕播11,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000000097
赛事咪咕播12,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000002019
赛事咪咕播13,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000002809
赛事咪咕播14,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000003915
赛事咪咕播15,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000005837
赛事咪咕播16,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000006077
赛事咪咕播17,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000009788
赛事咪咕播18,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000010833
赛事咪咕播19,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000012558
赛事咪咕播20,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000012616
赛事咪咕播21,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000015470
赛事咪咕播22,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000015560
赛事咪咕播23,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000017678
赛事咪咕播24,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000019839
赛事咪咕播25,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000023434
赛事咪咕播26,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000025380
赛事咪咕播27,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000027691
赛事咪咕播28,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000031669
赛事咪咕播29,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011518
赛事咪咕播30,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011519
赛事咪咕播31,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011520
赛事咪咕播32,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000020000011521
赛事咪咕播4k,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000005180
赛事至臻视界,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000015686


🌹咪咕二区,#genre#
CCTV-1|飞扬直播,https://3.69mini.com/mg.php?token=1f749c81e97e666621893ab011c5d9
CCTV-2|飞扬直播,https://3.69mini.com/mg.php?token=ce12080ee2fdb8dcb0ee6a28cbdd47
CCTV-3|飞扬直播,https://3.69mini.com/mg.php?token=d4e1e80541b80cb731c98bd6904c07
CCTV-4|飞扬直播,https://3.69mini.com/mg.php?token=4679b5c320c76ed0206bb04402a63b
CCTV-4|飞扬直播,https://3.69mini.com/mg.php?token=25436cb6f4e1cba8e325b988752cde
CCTV-4|飞扬直播,https://3.69mini.com/mg.php?token=cb4cd8f372291fec8cdd75e560d955
CCTV-5|飞扬直播,https://3.69mini.com/mg.php?token=509c1b4e28bfda44c30553ce28eaa9
CCTV-5+|飞扬直播,https://3.69mini.com/mg.php?token=2e838575a9699f3ca1fd6530a01c00
CCTV-6|飞扬直播,https://3.69mini.com/mg.php?token=5e80aa39ef0383252aa519ee90e440
CCTV-7|飞扬直播,https://3.69mini.com/mg.php?token=78cb695527b42462131af08cd56edd
CCTV-8|飞扬直播,https://3.69mini.com/mg.php?token=39c662aa066507def6a890e2817077
CCTV-9|飞扬直播,https://3.69mini.com/mg.php?token=92002880de9df95c90cf67414568f3
CCTV-10|飞扬直播,https://3.69mini.com/mg.php?token=fd4511cac554dfcff90e18af839c3c
CCTV-11|飞扬直播,https://3.69mini.com/mg.php?token=ee475cb140fbb0b37dab9f13641600
CCTV-12|飞扬直播,https://3.69mini.com/mg.php?token=2ab23a57d95a5c3a3bacb9417da142
CCTV-13|飞扬直播,https://3.69mini.com/mg.php?token=7a47e0ca4538b95f0605737c91e9be
CCTV-14|飞扬直播,https://3.69mini.com/mg.php?token=b0d051bb66770d53d44fc3a01ee7e8
CCTV-15|飞扬直播,https://3.69mini.com/mg.php?token=cf68859d2ea9b3458d6c798be45cfc
CCTV-17|飞扬直播,https://3.69mini.com/mg.php?token=ad54214c2a01272a17600748f2b87f




抗战经典影片|飞扬直播,https://3.69mini.com/mg.php?token=f15f3e862ab62e08d0283726d1438e
CHC影迷电影|飞扬直播,https://3.69mini.com/mg.php?token=b203eeeee8464a258ef07e20a65e74
CHC动作电影|飞扬直播,https://3.69mini.com/mg.php?token=2bbf90e84f29cedff0512ea6a2a4a1
CHC家庭影院|飞扬直播,https://3.69mini.com/mg.php?token=8a8dcba291c0ecaf486f5acb0f442f
新片放映厅|飞扬直播,https://3.69mini.com/mg.php?token=d7561168af803fe38125a894de1cd8


东方卫视|飞扬直播,https://3.69mini.com/mg.php?token=667f3d2a86279e7f4ac85f75dfa76a
江苏卫视|飞扬直播,https://3.69mini.com/mg.php?token=3771c1dd02da485d4f02c26b366bb6
广东卫视|飞扬直播,https://3.69mini.com/mg.php?token=9fa6a82f71e3cdd9b740fb1b0d5bf1
江西卫视|飞扬直播,https://3.69mini.com/mg.php?token=597eff85928a0b7dce33f6e8993e50
河南卫视|飞扬直播,https://3.69mini.com/mg.php?token=b9b5312d1e25c0eedf65883e9c562e
陕西卫视|飞扬直播,https://3.69mini.com/mg.php?token=6927f1eddc12566c9b361fd54a521c
大湾区卫视|飞扬直播,https://3.69mini.com/mg.php?token=c8261eebad40a8e6ff429e43b38cd6
湖北卫视|飞扬直播,https://3.69mini.com/mg.php?token=addf3665628d7802f46af200b222e5
吉林卫视|飞扬直播,https://3.69mini.com/mg.php?token=7d4a274d951e5012ab9f3ef40dbd45
青海卫视|飞扬直播,https://3.69mini.com/mg.php?token=ba470cd7f45428bd7000a25f12180c
东南卫视|飞扬直播,https://3.69mini.com/mg.php?token=50bb6823f9afd7b68a1c46f73ec80d
海南卫视|飞扬直播,https://3.69mini.com/mg.php?token=0ea6b6ac64c567a83144163c6daf7a
海峡卫视|飞扬直播,https://3.69mini.com/mg.php?token=fe26cdf58ac3a97b98e64c874bcb87
农林卫视|飞扬直播,https://3.69mini.com/mg.php?token=b2a0f10c7191f75736777c6f46aa3d
兵团卫视|飞扬直播,https://3.69mini.com/mg.php?token=3b1eb95e6dedbbecd4ac3f9677161b
东方影视|飞扬直播,https://3.69mini.com/mg.php?token=78686beaf2a499e1fe27c4b35f0746
上海新闻|飞扬直播,https://3.69mini.com/mg.php?token=b56074e895de7d59ff4dde54989519
第一财经|飞扬直播,https://3.69mini.com/mg.php?token=7dce3cac1f5824779da3ee2dcee970
江苏城市|飞扬直播,https://3.69mini.com/mg.php?token=4b9d0fd0148c79d499c94fd7befa19
江苏综艺|飞扬直播,https://3.69mini.com/mg.php?token=4103fd090f316c89a0d2977e422d65
江苏影视|飞扬直播,https://3.69mini.com/mg.php?token=d744c1705586a86892f77eea0105d8
江苏公共|飞扬直播,https://3.69mini.com/mg.php?token=581976c375364f01282bb4e5c9e785
江苏国际|飞扬直播,https://3.69mini.com/mg.php?token=80ad1e65541e17d2c2cb7d473f79ed
江苏教育|飞扬直播,https://3.69mini.com/mg.php?token=320ddbe6a60299143daca7f3392255
江苏体育|飞扬直播,https://3.69mini.com/mg.php?token=061bd4329242ae5900f6cb39c03a45
优漫卡通|飞扬直播,https://3.69mini.com/mg.php?token=fb7fc4550a529fabe0b72942911705
南京新闻|飞扬直播,https://3.69mini.com/mg.php?token=7c387db8bbe7f3339af96e462d34cf
南京教科|飞扬直播,https://3.69mini.com/mg.php?token=b2fa5816fcc590528ac521cc6511a3
南京十八|飞扬直播,https://3.69mini.com/mg.php?token=0760872bf04e4b20b50e93a107b727
淮安新闻|飞扬直播,https://3.69mini.com/mg.php?token=1350b5c7cee45443e1cadc02a2a143
连云港新闻|飞扬直播,https://3.69mini.com/mg.php?token=d6e6c926ec2c813d07b88e83559cd4
苏州新闻|飞扬直播,https://3.69mini.com/mg.php?token=c46a7d9cccc30dd64f4111054678ce
泰州新闻|飞扬直播,https://3.69mini.com/mg.php?token=a14cddbbceceb86f2c314983a14e9b
宿迁新闻|飞扬直播,https://3.69mini.com/mg.php?token=ffc8aa8209a8b75150c34db342be48
徐州新闻|飞扬直播,https://3.69mini.com/mg.php?token=c6990ad15583684264f80b7150f6e3
广东影视|飞扬直播,https://3.69mini.com/mg.php?token=2f26c65a6916e1ddfd754301c188fd
嘉佳卡通|飞扬直播,https://3.69mini.com/mg.php?token=de381f782124668e264e7bb8b5e3ae
盐城新闻|飞扬直播,https://3.69mini.com/mg.php?token=1db371c0078a4d2ac13a5f79f521e3
南通新闻|飞扬直播,https://3.69mini.com/mg.php?token=84391b2c2b2d92150a1647050243b1
宜兴新闻|飞扬直播,https://3.69mini.com/mg.php?token=27adcd67ea46eff6eebd8e2ae44856
溧水新闻|飞扬直播,https://3.69mini.com/mg.php?token=240dc776af7fde3689cbcd31d42e6c
陕西秦腔|飞扬直播,https://3.69mini.com/mg.php?token=78ca1328c5b3dd94600b6e8f91b913
陕西新闻|飞扬直播,https://3.69mini.com/mg.php?token=559a87e8a2dcd238503ebeddc7fe68
财富天下|飞扬直播,https://3.69mini.com/mg.php?token=4492e10b5748b839ae67447cccecbb


🍓移动央卫,#genre#
CCTV1|飞扬直播,http://39.165.39.49:19901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2|飞扬直播,http://39.165.39.49:19901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3|飞扬直播,http://39.165.39.49:19901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4|飞扬直播,http://39.165.39.49:19901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5|飞扬直播,http://39.165.39.49:19901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6|飞扬直播,http://39.165.39.49:19901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7|飞扬直播,http://39.165.39.49:19901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8|飞扬直播,http://39.165.39.49:19901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9|飞扬直播,http://39.165.39.49:19901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10|飞扬直播,http://39.165.39.49:19901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11|飞扬直播,http://39.165.39.49:19901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12|飞扬直播,http://39.165.39.49:19901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13|飞扬直播,http://39.165.39.49:19901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14|飞扬直播,http://39.165.39.49:19901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15|飞扬直播,http://39.165.39.49:19901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV17|飞扬直播,http://39.165.39.49:19901/tsfile/live/1088_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+|飞扬直播,http://39.165.39.49:19901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=0&authid=0
中国教育|飞扬直播,http://39.165.39.49:19901/tsfile/live/1090_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视|飞扬直播,http://39.165.39.49:19901/tsfile/live/1105_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视|飞扬直播,http://39.165.39.49:19901/tsfile/live/1127_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视|飞扬直播,http://39.165.39.49:19901/tsfile/live/1128_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视|飞扬直播,http://39.165.39.49:19901/tsfile/live/1129_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视|飞扬直播,http://39.165.39.49:19901/tsfile/live/1130_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视|飞扬直播,http://39.165.39.49:19901/tsfile/live/1131_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视|飞扬直播,http://39.165.39.49:19901/tsfile/live/1133_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视|飞扬直播,http://39.165.39.49:19901/tsfile/live/1134_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视|飞扬直播,http://39.165.39.49:19901/tsfile/live/1140_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视|飞扬直播,http://39.165.39.49:19901/tsfile/live/1141_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视|飞扬直播,http://39.165.39.49:19901/tsfile/live/1143_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视|飞扬直播,http://39.165.39.49:19901/tsfile/live/1149_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通|飞扬直播,http://39.165.39.49:19901/tsfile/live/1156_1.m3u8?key=txiptv&playlive=0&authid=0
嘉佳卡通|飞扬直播,http://39.165.39.49:19901/tsfile/live/1157_1.m3u8?key=txiptv&playlive=0&authid=0
卡酷动画|飞扬直播,http://39.165.39.49:19901/tsfile/live/1158_1.m3u8?key=txiptv&playlive=0&authid=0
炫动卡通|飞扬直播,http://39.165.39.49:19901/tsfile/live/1159_1.m3u8?key=txiptv&playlive=0&authid=0
优漫卡通|飞扬直播,http://39.165.39.49:19901/tsfile/live/1092_1.m3u8?key=txiptv&playlive=0&authid=0
文体旅游|飞扬直播,http://39.165.39.49:19901/tsfile/live/1094_1.m3u8?key=txiptv&playlive=0&authid=0
都市频道|飞扬直播,http://39.165.39.49:19901/tsfile/live/1106_1.m3u8?key=txiptv&playlive=0&authid=0
民生频道|飞扬直播,http://39.165.39.49:19901/tsfile/live/1109_1.m3u8?key=txiptv&playlive=0&authid=0
法制频道|飞扬直播,http://39.165.39.49:19901/tsfile/live/1110_1.m3u8?key=txiptv&playlive=0&authid=0
电视剧频|飞扬直播,http://39.165.39.49:19901/tsfile/live/1111_1.m3u8?key=txiptv&playlive=0&authid=0
新闻频道|飞扬直播,http://39.165.39.49:19901/tsfile/live/1112_1.m3u8?key=txiptv&playlive=0&authid=0
公共频道|飞扬直播,http://39.165.39.49:19901/tsfile/live/1114_1.m3u8?key=txiptv&playlive=0&authid=0
快乐垂钓|飞扬直播,http://39.165.39.49:19901/tsfile/live/1115_1.m3u8?key=txiptv&playlive=0&authid=0
戏曲频道|飞扬直播,http://39.165.39.49:19901/tsfile/live/1118_1.m3u8?key=txiptv&playlive=0&authid=0
文物宝库|飞扬直播,http://39.165.39.49:19901/tsfile/live/1119_1.m3u8?key=txiptv&playlive=0&authid=0
梨园频道|飞扬直播,http://39.165.39.49:19901/tsfile/live/1120_1.m3u8?key=txiptv&playlive=0&authid=0
武术世界|飞扬直播,http://39.165.39.49:19901/tsfile/live/1121_1.m3u8?key=txiptv&playlive=0&authid=0
调解剧场|飞扬直播,http://39.165.39.49:19901/tsfile/live/1124_1.m3u8?key=txiptv&playlive=0&authid=0
风尚河南|飞扬直播,http://39.165.39.49:19901/tsfile/live/1125_1.m3u8?key=txiptv&playlive=0&authid=0
全纪实频道|飞扬直播,http://39.165.39.49:19901/tsfile/live/1126_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1|飞扬直播,http://live1.jzjsnm.cn/live1/cctv1_sd.m3u8?auth_key=1674380689129-0-0-33b866062e0fd04f6716d1178a54ec89
CCTV2|飞扬直播,http://live1.jzjsnm.cn/live1/cctv2_sd.m3u8?auth_key=1674380714768-0-0-169f569dcf4861f4fcee2f147582afb2
CCTV4|飞扬直播,http://live1.jzjsnm.cn/live1/cctv4_sd.m3u8?auth_key=1674380730443-0-0-52065a31109414e7ca8eee2262cde29c
CCTV9|飞扬直播,http://live1.jzjsnm.cn/live1/cctv9_sd.m3u8?auth_key=1674380742710-0-0-a5ee3907e3b6981efecef9bdbdd305cd
CCTV10|飞扬直播,http://live1.jzjsnm.cn/live1/cctv10_sd.m3u8?auth_key=1674380760270-0-0-9db2fec388bf6f405b9060ba98f9848d
CCTV12|飞扬直播,http://live1.jzjsnm.cn/live1/cctv12_sd.m3u8?auth_key=1674380775443-0-0-84c3332beebc39185caeecc7291c7528
CCTV13|飞扬直播,http://live1.jzjsnm.cn/live1/cctv13_sd.m3u8?auth_key=1674380790066-0-0-f80315c25ec44778e829c9d9b4cbb843
CCTV14|飞扬直播,http://live1.jzjsnm.cn/live1/cctv14_sd.m3u8?auth_key=1674380806614-0-0-f88361d26a1ad60b954e40ba15b0a21f
CCTV15|飞扬直播,http://live1.jzjsnm.cn/live1/cctv15_sd.m3u8?auth_key=1674380822365-0-0-980cab839c86129c4e63e163019d4695
北京卫视|飞扬直播,http://live1.jzjsnm.cn/live1/beijing_sd.m3u8?auth_key=1674380838880-0-0-3de900dceb7b3e68fc8ca6dd48628631
天津卫视|飞扬直播,http://live1.jzjsnm.cn/live1/tianjin_sd.m3u8?auth_key=1674380847204-0-0-f0a12cb2dbf24d6ab632ce26692bc1c9
河北卫视|飞扬直播,http://live1.jzjsnm.cn/live1/hebei_sd.m3u8?auth_key=1674380851136-0-0-b27018959cdc61a8f498b8c759c7d992
辽宁卫视|飞扬直播,http://live1.jzjsnm.cn/live1/liaoning_sd.m3u8?auth_key=1674384719494-0-0-a10dd4996266e8aa995196366bd463fe
黑龙江卫视|飞扬直播,http://live1.jzjsnm.cn/live1/heilongjiang_sd.m3u8?auth_key=1674384723609-0-0-826e5e9cb0b72c542f54fae0a5bb5aa7
吉林卫视|飞扬直播,http://live1.jzjsnm.cn/live1/jilin_sd.m3u8?auth_key=1674380621741-0-0-a26770b1097eceabd72b4c3d7f26be5b
东方卫视|飞扬直播,http://live1.jzjsnm.cn/live1/shanghai_sd.m3u8?auth_key=1674384729585-0-0-6e217e7f8c5ab9fba2299b0b88685cf0
东南卫视|飞扬直播,http://live1.jzjsnm.cn/live1/fujiandongnan_sd.m3u8?auth_key=1674384757505-0-0-f1870b9819c26f11f25e7f619f316862
广东卫视|飞扬直播,http://live1.jzjsnm.cn/live1/guangdong_sd.m3u8?auth_key=1674384778304-0-0-697b97e78c0200a66b85de0ee2ce9a33
深圳卫视|飞扬直播,http://live1.jzjsnm.cn/live1/shenzhen_sd.m3u8?auth_key=1674384785991-0-0-3ac98f1479307e7b7d4b7b20bbd53be8
湖北卫视|飞扬直播,http://live1.jzjsnm.cn/live1/hubei_sd.m3u8?auth_key=1674384773702-0-0-3618eda3c7aa5305bc201b14f519db1e
浙江卫视|飞扬直播,http://live1.jzjsnm.cn/live1/zhejiang_sd.m3u8?auth_key=1674384741181-0-0-b0d3d583ee4176865132270fa1930ca8
安徽卫视|飞扬直播,http://live1.jzjsnm.cn/live1/anhui_sd.m3u8?auth_key=1674384752488-0-0-cf341a9e011aac17800bde44e02ffb5f
江苏卫视|飞扬直播,http://live1.jzjsnm.cn/live1/jiangsu_sd.m3u8?auth_key=1674384747063-0-0-ea2da3e84ca1c2cf3689147c1ba0c6eb
四川卫视|飞扬直播,http://live1.jzjsnm.cn/live1/sichuang_sd.m3u8?auth_key=1674384813397-0-0-5a2295828e24be4c332914b5d5ac1ceb
重庆卫视|飞扬直播,http://live1.jzjsnm.cn/live1/chongqing_sd.m3u8?auth_key=1674384793775-0-0-892cf335f1f820040343f7f8d9431842
山东卫视|飞扬直播,http://live1.jzjsnm.cn/live1/shandong_sd.m3u8?auth_key=1674384766403-0-0-3b864bfd57e57d2f6262d19132b3bde9
山西卫视|飞扬直播,http://live1.jzjsnm.cn/live1/shanxi_sd.m3u8?auth_key=1674380856917-0-0-99bf343ca985bafccff828766d399c54
江西卫视|飞扬直播,http://live1.jzjsnm.cn/live1/jiangxi_sd.m3u8?auth_key=1674384761862-0-0-21ac38217ac94abd08fba081e48711b0
广西卫视|飞扬直播,http://live1.jzjsnm.cn/live1/guangxi_sd.m3u8?auth_key=1674384782046-0-0-2db7f33b30186694a59ba8c5a05729f6
云南卫视|飞扬直播,http://live1.jzjsnm.cn/live1/yunnan_sd.m3u8?auth_key=1674384802586-0-0-6851a5efd91acf61255e0fb9aa862184
河南卫视|飞扬直播,http://live1.jzjsnm.cn/live1/henan_sd.m3u8?auth_key=1674384769832-0-0-6abdf45238fea763c626e38cc6c11913
甘肃卫视|飞扬直播,http://live1.jzjsnm.cn/live1/gansu_sd.m3u8?auth_key=1674384828826-0-0-d9a684f8f64614eb974c5c6069fd7ea1
陕西卫视|飞扬直播,http://live1.jzjsnm.cn/live1/sanxi_sd.m3u8?auth_key=1674384817144-0-0-2476be9217cd970a343f814c223684bb
青海卫视|飞扬直播,http://live1.jzjsnm.cn/live1/qinghai_sd.m3u8?auth_key=1674384821565-0-0-1fd4fa0cf1f181cb7f18ca6c29b017e5
海南卫视|飞扬直播,http://live1.jzjsnm.cn/live1/hainan_sd.m3u8?auth_key=1674384790084-0-0-3fc253fac33ed7e4f1e21db277d67f2a
贵州卫视|飞扬直播,http://live1.jzjsnm.cn/live1/guizhou_sd.m3u8?auth_key=1674384798657-0-0-8df7415dfe060b882d402cf7b8b220d0
西藏卫视|飞扬直播,http://live1.jzjsnm.cn/live1/xizang_sd.m3u8?auth_key=1674384806767-0-0-f6a9fd6bf153fbcf1154eb8a9a78512d
内蒙古卫视|飞扬直播,http://live1.jzjsnm.cn/live1/neimenggu_sd.m3u8?auth_key=1674384714923-0-0-269b80260d7b33d09020a97e5ad3c99b
宁夏卫视|飞扬直播,http://live1.jzjsnm.cn/live1/ningxia_sd.m3u8?auth_key=1674384832988-0-0-310bf6a46794884a574b4180be3ef5d1
延边卫视|飞扬直播,http://live1.jzjsnm.cn/live1/yanbian_sd.m3u8?auth_key=1674380606234-0-0-b6abfdf9258f0d77f120b9b820ba4bd0
兵团卫视|飞扬直播,http://live1.jzjsnm.cn/live1/bingtuan_sd.m3u8?auth_key=1674384824936-0-0-9dbbc3c7a6c08ec584bfaffab54d6399

