💝央视频道,#genre#
熊猫高清咪咕,http://106.52.196.79:80/TV/mui.php?id=xmhd
熊猫频壹咪咕,http://106.52.196.79:80/TV/mui.php?id=xm1
熊猫频贰咪咕,http://106.52.196.79:80/TV/mui.php?id=xm2
熊猫频叁咪咕,http://106.52.196.79:80/TV/mui.php?id=xm3
熊猫频肆咪咕,http://106.52.196.79:80/TV/mui.php?id=xm4
熊猫频伍咪咕,http://106.52.196.79:80/TV/mui.php?id=xm5
熊猫频陆咪咕,http://106.52.196.79:80/TV/mui.php?id=xm6
熊猫频柒咪咕,http://106.52.196.79:80/TV/mui.php?id=xm7
熊猫频捌咪咕,http://106.52.196.79:80/TV/mui.php?id=xm8
熊猫频玖咪咕,http://106.52.196.79:80/TV/mui.php?id=xm9
熊猫频拾咪咕,http://106.52.196.79:80/TV/mui.php?id=xm10



❤️AK47源,#genre#
Animax (HK) ,http://s1.an94tv.cfd/aktv/animaxhk/AKTV.m3u8
AXN ,http://s1.an94tv.cfd/aktv/axn/AKTV.m3u8
Channel 5 HD ,http://s1.an94tv.cfd/aktv/channel5hd/AKTV.m3u8
Channel 8 HD ,http://s1.an94tv.cfd/aktv/channel8hd/AKTV.m3u8
Channel U HD ,http://s1.an94tv.cfd/aktv/channeluhd/AKTV.m3u8
Love Nature HD ,http://s1.an94tv.cfd/aktv/lovenaturehd/AKTV.m3u8
PopC ,http://s1.an94tv.cfd/aktv/popc/AKTV.m3u8
ROCK Action ,http://s1.an94tv.cfd/aktv/rockaction/AKTV.m3u8
TVB Plus ,http://s1.an94tv.cfd/aktv/tvbplus/AKTV.m3u8
tvN ,http://s1.an94tv.cfd/aktv/tvn/AKTV.m3u8
天映經典(1080) ,http://s1.an94tv.cfd/aktv/1080/AKTV.m3u8
明珠剧集台(北美) ,http://s1.an94tv.cfd/aktv/CH-19/AKTV.m3u8
明珠台 ,http://s1.an94tv.cfd/aktv/CH-2/AKTV.m3u8
無線新聞台 ,http://s1.an94tv.cfd/aktv/CH-1/AKTV.m3u8
美亞電影台(HK) ,http://s1.an94tv.cfd/aktv/hk/AKTV.m3u8
翡翠剧集台(北美) ,http://s1.an94tv.cfd/aktv/CH-18/AKTV.m3u8
翡翠台 ,http://s1.an94tv.cfd/aktv/CH-0/AKTV.m3u8
翡翠综合台(北美) ,http://s1.an94tv.cfd/aktv/CH-17/AKTV.m3u8
鳳凰衛視中文台 ,http://s1.an94tv.cfd/aktv/CH-3/AKTV.m3u8
鳳凰衛視資訊台 ,http://s1.an94tv.cfd/aktv/CH-4/AKTV.m3u8
鳳凰衛視香港台 ,http://s1.an94tv.cfd/aktv/CH-5/AKTV.m3u8
黃金翡翠台 ,http://s1.an94tv.cfd/aktv/CH-6/AKTV.m3u8
Sky Sports F1 ,http://s1.an94tv.cfd/aktv2/skysportsf1/AKTV.m3u8
天映电影 ,http://s1.an94tv.cfd/aktv2/CH-3/AKTV.m3u8
好萊塢電影台 ,http://s1.an94tv.cfd/aktv2/CH-1/AKTV.m3u8
東森洋片 ,http://s1.an94tv.cfd/aktv2/CH-2/AKTV.m3u8
緯來體育台 ,http://s1.an94tv.cfd/aktv2/CH-0/AKTV.m3u8
CNA ,http://s1.an94tv.cfd/aktv3/cna/AKTV.m3u8
朝鲜恩情台 ,http://s1.an94tv.cfd/aktv3/CH-0/AKTV.m3u8
Japan News 24H LIVE ,http://s1.an94tv.cfd/aktvjp/japannews24hlive/AKTV.m3u8
日テレNEWS LIVE ,http://s1.an94tv.cfd/aktvjp/ntv/AKTV.m3u8
8TV ,http://s1.an94tv.cfd/astro/8tv/AKTV.m3u8
Astro Football ,http://s1.an94tv.cfd/astro/CH-0/AKTV.m3u8
Astro Sport UHD ,http://s1.an94tv.cfd/astro/astrosportuhd/AKTV.m3u8
EuroSport 1 ,http://s1.an94tv.cfd/astro/eurosport1/AKTV.m3u8
EuroSport 2 ,http://s1.an94tv.cfd/astro/eurosport2/AKTV.m3u8
TNT SPORTS 1 ,http://s1.an94tv.cfd/astro/tntsports1/AKTV.m3u8
TNT SPORTS 2 ,http://s1.an94tv.cfd/astro/tntsports2/AKTV.m3u8
TNT SPORTS 3 ,http://s1.an94tv.cfd/astro/tntsports3/AKTV.m3u8
中天亚洲台 ,http://s1.an94tv.cfd/astro/CH-1/AKTV.m3u8
KLT-靖天國際台 ,http://s1.an94tv.cfd/taiwan/CH-3/AKTV.m3u8
TVBS ,http://s1.an94tv.cfd/taiwan/tvbs/AKTV.m3u8
TVBS新聞 ,http://s1.an94tv.cfd/taiwan/tvbs-1/AKTV.m3u8
民視 ,http://s1.an94tv.cfd/taiwan/CH-1/AKTV.m3u8
民視第一台 ,http://s1.an94tv.cfd/taiwan/CH-0/AKTV.m3u8
龍華日韓台 ,http://s1.an94tv.cfd/taiwan/CH-5/AKTV.m3u8
TVB 星河 ,http://s1.an94tv.cfd/taiwan2/tvb/AKTV.m3u8
中天新闻台 ,http://s1.an94tv.cfd/zhongtian/CH-0/AKTV.m3u8
東森新聞 ,http://s1.an94tv.cfd/zhongtian/CH-1/AKTV.m3u8


